title,domain,difficulty,duration,description,url
AI Fundamentals for Non-Data Scientists,Data Science,Not specified,10.0,"In this course, you will go in-depth to discover how Machine Learning is used to handle and interpret Big Data. You will get a detailed look at the various ways and methods to create algorithms to incorporate into your business with such tools as Teachable Machine and TensorFlow. You will also learn different ML methods, Deep Learning, as well as the limitations but also how to drive accuracy and use the best training data for your algorithms. You will then explore GANs and VAEs, using your newf",https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists
AI Infrastructure and Operations Fundamentals,Data Science,Beginner,10.0,"Artificial Intelligence, or AI, is transforming society in many ways. From speech recognition to self-driving cars, to the immense possibilities offered by generative AI. AI technology provides enterprises with the compute power, tools, and algorithms their teams need to do their life’s work. Designed for enterprise professionals, this course provides invaluable insights into the ever-changing realm of AI. Whether you're a seasoned professional or just beginning your journey into AI, this",https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals
AI Mastery for Professionals Specialization,Data Science,Beginner,10.0,Offered by Vanderbilt University. Master AI and AI Agents For Professional Work. Master AI techniques to produce high-value outputs in your ... Enroll for free.,https://www.coursera.org/specializations/ai-mastery
AI Product Management Specialization,Data Science,Beginner,5.0,Offered by Duke University. Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be ... Enroll for free.,https://www.coursera.org/specializations/ai-product-management-duke
AI Python for Beginners,Computer Science,Beginner,20.0,"AI Python for Beginners is designed to help you leverage the power of Python programming, even if your goal isn’t to become a software developer or AI engineer. This four-part course that teaches you to code practical AI applications from day one, even if you've never programmed before. You’ll learn with support from an AI chatbot that can help you get immediate feedback, quickly fix bugs, and keep you on track while learning new skills. You'll gain a foundational understanding of Python while b",https://www.coursera.org/learn/ai-python-for-beginners
AI for App Building,Data Science,Beginner,2.0,"Wish you could build a tool to make your workday a little easier, but don’t know where to start? This course teaches you how to build with AI by vibe coding, the process of developing code using natural language. You’ll start by analyzing your professional workflow to identify an opportunity where an app can have the biggest impact. Then, you’ll build it to solve that exact challenge. You’ll also learn the common pitfalls of vibe coding to ensure you are developing responsibly. Show off your ad",https://www.coursera.org/learn/google-ai-for-app-building
AI for Brainstorming and Planning,Data Science,Beginner,1.0,"Need to get a new project off the ground? In this course, you’ll gain hands-on experience turning abstract ideas into detailed, actionable plans. You’ll learn how to brainstorm with speed, evaluate ideas against frameworks, and use Gemini to uncover hidden risks and dependencies. Finally, you'll walk away with the resources and tools you need to move from idea to execution. By the end of this course, you will create: • A strategic plan to validate your next big idea: Move from a rough concept",https://www.coursera.org/learn/google-ai-for-brainstorming-and-planning
AI for Content Creation,Arts and Humanities,Beginner,2.0,"Ready to bring your creative ideas to life? In this course, you’ll learn to use AI as your creative partner to generate, refine, and critique assets, helping you move from a rough concept to a polished deliverable in minutes. You’ll learn to generate high-quality images and videos directly in Gemini, then use Gemini in Google Slides to turn basic decks into professional presentations. Beyond that, you’ll learn to use AI as a ""creative director"" to establish design guidelines and ensure your work",https://www.coursera.org/learn/google-ai-for-content-creation
AI for Data Analysis,Data Science,Beginner,1.0,"Are the answers you need buried in a dataset you can't decipher? In this course, you’ll learn to use AI as your analytical partner to transform unstructured data into clear, actionable insights. You’ll use Gemini to identify the right success metrics for any project and practice converting messy, raw data into structured tables. You'll use everyday language to generate powerful spreadsheet formulas and create compelling charts in Google Sheets—empowering you to make smarter, data-driven decision",https://www.coursera.org/learn/google-ai-for-data-analysis
AI for Medicine Specialization,Health,Intermediate,10.0,"Offered by DeepLearning.AI. AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make ... Enroll for free.",https://www.coursera.org/specializations/ai-for-medicine
AI for Research and Insights,Data Science,Beginner,1.0,"Need to get up to speed on complex topics, fast? In this course, you’ll transform AI into your strategic research partner to accelerate your learning and sharpen your decision-making. You’ll start by using Gemini Deep Research to analyze dozens of sources in minutes, moving from raw data to compelling visual reports instantly. Next, you’ll learn how to feed Gemini Notebook diverse sources—like PDFs and videos—to generate instant, actionable summaries. Finally, you’ll use meta-prompting technique",https://www.coursera.org/learn/google-ai-for-research-and-insights
AI for Writing and Communicating,Arts and Humanities,Beginner,1.0,"Spending too much time writing, editing and refining your communications? In this course, you’ll learn how to use AI as your writing partner to turn rough notes into polished messages that achieve greater clarity and influence at work. You'll start by using Gemini in Google Meet to transform raw transcripts into organized reports. Next, you'll enhance your work by prompting Gemini to provide feedback from different perspectives. Finally, save time by using Gemini Canvas to adapt your writing for",https://www.coursera.org/learn/google-ai-for-writing-and-communicating
AI in Healthcare Specialization,Data Science,Beginner,10.0,"Offered by Stanford University. Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically ... Enroll for free.",https://www.coursera.org/specializations/ai-healthcare
AI-Enhanced Data Analysis: From Raw Data to Deep Insights Specialization,Data Science,Intermediate,10.0,"Offered by Microsoft. Essential Microsoft Data Analysis Tools. Build comprehensive data analysis skills using Excel, Python, and Power BI ... Enroll for free.",https://www.coursera.org/specializations/microsoft-ai-enhanced-data-analysis
AI-Powered Content Marketing and Strategy Specialization,Business,Beginner,10.0,Offered by Adobe. Design Campaigns with Generative AI Tools . Create and optimize marketing content using AI and multichannel strategies. Enroll for free.,https://www.coursera.org/specializations/ai-powered-content-marketing-strategy
AWS Cloud Solutions Architect Professional Certificate,Information Technology,Intermediate,80.0,Offered by Amazon Web Services. Start here to become an AWS Solutions Architect. Gain the skills and knowledge to design architectural ... Enroll for free.,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
AWS Cloud Support Associate Professional Certificate,Information Technology,Beginner,10.0,Offered by Amazon Web Services. Launch your career in cloud computing. Build job-ready skills and gain credentials to go from beginner to ... Enroll for free.,https://www.coursera.org/professional-certificates/aws-cloud-support-associate
AWS Cloud Technology Consultant Professional Certificate,Information Technology,Beginner,160.0,"Offered by Amazon Web Services. Start a career as a Cloud Technology Consultant. In this program, you’ll learn in-demand skills to advise ... Enroll for free.",https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
AWS Fundamentals Specialization,General,Beginner,10.0,"Offered by Amazon Web Services. This specialization gives current or aspiring IT professionals an overview of the features, benefits, and ... Enroll for free.",https://www.coursera.org/specializations/aws-fundamentals
Academic English: Writing Specialization,Arts and Humanities,Beginner,10.0,"Offered by University of California, Irvine. Transform Your Writing Skills. Prepare for college-level writing and research in just four courses. Enroll for free.",https://www.coursera.org/specializations/academic-english
Accelerate Your Job Search with AI,Data Science,Beginner,6.0,"All Google Career Certificates now include an optional course, Accelerate Your Job Search with AI. This course was designed by experts at Google and informed by employers, workforce nonprofits, and educational institutions, to help you navigate your path to your next role more efficiently and confidently. No matter where you are on your job search journey—whether you're just starting out, seeking a new challenge, or ready for your next career move—this course is for everyone. You’ll get pract",https://www.coursera.org/learn/accelerate-your-job-search-with-ai
Achieving Personal and Professional Success Specialization,General,Beginner,10.0,"Offered by University of Pennsylvania. Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to ... Enroll for free.",https://www.coursera.org/specializations/wharton-success
Adobe Content Creator: Launching Your Creative Career Professional Certificate,Arts and Humanities,Beginner,10.0,"Offered by Adobe. Launch your career as a content creator. Build in-demand skills in visual design, social media , and multimedia storytelling. Enroll for free.",https://www.coursera.org/professional-certificates/adobe-content-creator
Adobe Graphic Designer: Design that Demands Attention Professional Certificate,Arts and Humanities,Beginner,10.0,"Offered by Adobe. Launch your graphic design career. Learn design fundamentals to build job-ready skills using Adobe Photoshop, Illustrator, ... Enroll for free.",https://www.coursera.org/professional-certificates/adobe-graphic-designer
Adobe Marketing Specialist Professional Certificate,Business,Beginner,10.0,"Offered by Adobe. Launch your career in marketing. . Build job-ready skills in digital marketing, content development, branding, and social ... Enroll for free.",https://www.coursera.org/professional-certificates/adobe-marketing-specialist
Advanced Learning Algorithms,Computer Science,Beginner,30.0,"In the second course of the Machine Learning Specialization, you will: • Build and train a neural network with TensorFlow to perform multi-class classification • Apply best practices for machine learning development so that your models generalize to data and tasks in the real world • Build and use decision trees and tree ensemble methods, including random forests and boosted trees The Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.",https://www.coursera.org/learn/advanced-learning-algorithms
Agentic AI and AI Agents for Leaders Specialization,Data Science,Beginner,3.0,Offered by Vanderbilt University. Strategic Insights for Leaders on Agentic AI. Gain the knowledge to lead AI innovation in your ... Enroll for free.,https://www.coursera.org/specializations/ai-agents-for-leaders
Agile Development Specialization,General,Beginner,10.0,Offered by University of Virginia. Drive to Value with Agile Methods . Master an adaptive approach to product development Enroll for free.,https://www.coursera.org/specializations/agile-development
Agile Project Management,Business,Beginner,20.0,"This is the fifth course in the Google Project Management Certificate program. In this course, you will explore the history, approach, and philosophy of Agile project management, including the Scrum framework. You will learn how to differentiate and blend Agile and other project management approaches. As you progress through the course, you will learn more about Scrum, exploring its pillars and values and comparing essential Scrum Team roles. You will discover how to build, manage, and refine a",https://www.coursera.org/learn/agile-project-management
Airbus Supply Chain Specialist Professional Certificate,Business,Beginner,10.0,Offered by Airbus Beyond. Start your Supply Chain Specialist career. Go from beginner to job-ready in less than 6 months with a certificate ... Enroll for free.,https://www.coursera.org/professional-certificates/airbus-supply-chain-specialist
Amazon Junior Software Developer Professional Certificate,Computer Science,Beginner,10.0,Offered by Amazon. Launch your career as a Junior Software Developer. Build job-ready skills for an in-demand career in software development ... Enroll for free.,https://www.coursera.org/professional-certificates/amazon-junior-software-developer
An Introduction to American Law,Social Sciences,Beginner,10.0,"This course will give you a glimpse into six different areas of American law: Tort Law, Contract Law, Property, Constitutional Law, Criminal Law, and Civil Procedure. You will gain insight into the complexities and dilemmas that arise from the application of law in different settings, and what is distinctive about American approaches.",https://www.coursera.org/learn/american-law
An Introduction to Programming the Internet of Things (IOT) Specialization,Computer Science,Beginner,10.0,"Offered by University of California, Irvine. Create Your Own Internet of Things (IoT) Device. Design and create a simple IoT device in just ... Enroll for free.",https://www.coursera.org/specializations/iot
Analyze Data to Answer Questions,Data Science,Beginner,30.0,"This is the fifth course in the Google Data Analytics Certificate. In this course, you’ll explore what it means to actually analyze your data. You’ll take what you’ve learned up to this point and apply it to make sense of the data you’ve collected. You’ll learn how to organize and format your data using spreadsheets and SQL to help you look at and think about your data in different ways. You’ll also find out how to perform complex calculations with your data to address business objectives. You’l",https://www.coursera.org/learn/analyze-data
Anatomy Specialization,General,Beginner,10.0,"Offered by University of Michigan. Learn the Foundations of Human Anatomy. Understand the major organ systems, their functions and ... Enroll for free.",https://www.coursera.org/specializations/anatomy
Animal Behaviour and Welfare,Arts and Humanities,Not specified,10.0,"Animal welfare has been described as a complex, multi-faceted public policy issue which includes important scientific, ethical, and other dimensions. Improving our understanding of animal welfare, involves the fascinating study of animal behaviour as well as the challenge of accessing the emotions of animals. This is the On-Demand version of this course, which means you can start the course at any time and work through the course materials at your own pace. The materials and quizzes will alwa",https://www.coursera.org/learn/animal-welfare
Applied AI Specialization,Data Science,Beginner,10.0,Offered by Vanderbilt University. Apply AI to Solve Real Problems. Master Practical AI Techniques for Work and Business Enroll for free.,https://www.coursera.org/specializations/applied-ai
Applied Data Science Specialization,Data Science,Beginner,80.0,"Offered by IBM. Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data ... Enroll for free.",https://www.coursera.org/specializations/applied-data-science
Applied Data Science with Python Specialization,Data Science,Intermediate,10.0,"Offered by University of Michigan. Gain new insights into your data . Learn to apply data science methods and techniques, and acquire ... Enroll for free.",https://www.coursera.org/specializations/data-science-python
Applied Software Engineering Fundamentals Specialization,Computer Science,Beginner,80.0,"Offered by IBM. Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn ... Enroll for free.",https://www.coursera.org/specializations/software-engineering-fundamentals
Architecting with Google Compute Engine Specialization,Information Technology,Intermediate,10.0,"Offered by Google Cloud. Launch your career in Cloud Architecture. Design, develop, and manage cloud solutions to drive business objectives. Enroll for free.",https://www.coursera.org/specializations/gcp-architecture
Arizona State University TESOL Professional Certificate,Language Learning,Beginner,10.0,Offered by Arizona State University. Launch Your Career as an English Teacher. Master strategies to teach English as a second or foreign ... Enroll for free.,https://www.coursera.org/professional-certificates/arizona-state-university-tesol
Artificial Intelligence: an Overview Specialization,Data Science,Beginner,10.0,Offered by Politecnico di Milano. Enter the artificial intelligence world Enroll for free.,https://www.coursera.org/specializations/artificial-intelligence-overview
Ask Questions to Make Data-Driven Decisions,Data Science,Beginner,20.0,"This is the second course in the Google Data Analytics Certificate. You’ll build on your understanding of the topics that were introduced in the first course of this certificate program. The material will help you learn how to ask effective questions, make data-driven decisions, and meet stakeholders’ needs. Current Google data analysts will instruct and provide you with hands-on ways to accomplish common data analytics tasks. Learners who complete this certificate program will be equipped to a",https://www.coursera.org/learn/ask-questions-make-decisions
Assessment in Higher Education: Professional Development for Teachers,Arts and Humanities,Intermediate,20.0,"Are you a teacher in higher education wanting to get the best out of your students and assessments? Then on behalf of Risbo, Erasmus University Rotterdam, we would like to welcome you to this MOOC on Assessment in Higher Education. In this MOOC we will guide you through the different phases of preparing, creating and evaluating the assessments in your course. After participating in this MOOC, you will be able to: 1. Design an assessment that is constructively aligned (content, level, methods)",https://www.coursera.org/learn/assessment-higher-education
Astronomy: Exploring Time and Space,Physical Science and Engineering,Beginner,50.0,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,https://www.coursera.org/learn/astro
Attract and Engage Customers with Digital Marketing,Business,Beginner,10.0,"In the Attract and Engage Customers course you will practice using search engine optimization (SEO), search engine marketing (SEM), and display advertising to attract and engage customers online. You will explore the stages of the marketing funnel and learn how to use digital marketing tactics to move customers through the stages. You’ll learn how to increase the quality and quantity of website traffic by understanding SEO fundamentals like keyword research, search engine algorithms, and link bu",https://www.coursera.org/learn/attract-and-engage-customers
Authentic Communication With Confidence And Impact Specialization,Social Sciences,Beginner,10.0,"Authentic, Confident, And Impactful Communication. Build authentic presence and confident communication to influence, connect, and inspire ... Enroll for free.",https://www.coursera.org/specializations/authentic-communication-with-confidence-and-impact
"BI Foundations with SQL, ETL and Data Warehousing Specialization",Computer Science,Beginner,10.0,Offered by IBM. Get job-ready for your first role in BI. Build the in-demand skills you need to get started in business intelligence (BI) in ... Enroll for free.,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
Become a CBRS Certified Professional Installer by Google,General,Not specified,3.0,"Offered by Google - Spectrum Sharing. This six-module program, developed by Google, will train you to be a Certificated Professional ... Enroll for free.",https://www.coursera.org/learn/google-cbrs-cpi-training
Become an EMT Specialization,Health,Beginner,10.0,Offered by University of Colorado System. EMT Medical and Trauma Emergency Care. Gain the skills needed to provide first responder emergency ... Enroll for free.,https://www.coursera.org/specializations/become-an-emt
Bioinformatics Specialization,Computer Science,Beginner,10.0,Offered by University of California San Diego. Journey to the Frontier of Computational Biology. Master bioinformatics software and ... Enroll for free.,https://www.coursera.org/specializations/bioinformatics
Biology Meets Programming: Bioinformatics for Beginners,Computer Science,Beginner,20.0,"Are you interested in learning how to program (in Python) within a scientific setting? This course will cover algorithms for solving various biological problems along with a handful of programming challenges helping you implement these algorithms in Python. It offers a gently-paced introduction to our Bioinformatics Specialization (https://www.coursera.org/specializations/bioinformatics), preparing learners to take the first course in the Specialization, ""Finding Hidden Messages in DNA"" (https",https://www.coursera.org/learn/bioinformatics
Biostatistics in Public Health Specialization,Health,Beginner,10.0,"Offered by Johns Hopkins University. Build Statistical Skills for Biological Sciences. Master the tools and methods you need to analyze, ... Enroll for free.",https://www.coursera.org/specializations/biostatistics-public-health
Bookkeeping basics,Business,Beginner,10.0,"This is the first course in a series of four that will give you the skills needed to start your career in bookkeeping. If you have a passion for helping clients solve problems, this course is for you. In this course, you will be introduced to the role of a bookkeeper and learn what bookkeeping professionals do every day. You will dive into the accounting concepts and terms that will provide the foundation for the next three courses. You will learn how to work your way through the accounting cyc",https://www.coursera.org/learn/bookkeeping-basics
"Brand Management: Aligning Business, Brand and Behaviour",Business,Beginner,20.0,"Professor Nader Tavassoli of London Business School contrasts traditional approaches to branding - where brands are a visual identity and a promise to customers - to brands as a customer experience delivered by the entire organisation. The course offers a brand workout for your own brands, as well as guest videos from leading branding professionals. The aim of the course is to change the conception of brands as being an organisation's visual identity (e.g., logo) and image (customers' brand as",https://www.coursera.org/learn/brand
Branding: The Creative Journey Specialization,Arts and Humanities,Beginner,10.0,"Offered by IE Business School. Begin your Career as a Branding Specialist. Master branding strategies, branded content generation, image ... Enroll for free.",https://www.coursera.org/specializations/branding-the-creative-journey
Build Anything with AI: No Code Required Specialization,General,Beginner,10.0,"Offered by Vanderbilt University. Build Anything You Can Imagine with AI. Learn to turn any idea, data, or decision into real results with ... Enroll for free.",https://www.coursera.org/specializations/build-anything-with-ai
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Arts and Humanities,Not specified,10.0,"What you’ll achieve: In this project-centered course* you will build a modern computer system, from the ground up. We’ll divide this fascinating journey into six hands-on projects that will take you from constructing elementary logic gates all the way through creating a fully functioning general purpose computer. In the process, you will learn - in the most direct and constructive way - how computers work, and how they are designed. What you’ll need: This is a self-contained course: all the kno",https://www.coursera.org/learn/build-a-computer
Building AI Agents and Agentic Workflows Specialization,Data Science,Intermediate,10.0,"Offered by IBM. Build Autonomous Applications with AI Agents. Master Agentic AI with multi-agent frameworks such as LangGraph, CrewAI, ... Enroll for free.",https://www.coursera.org/specializations/building-ai-agents-and-agentic-workflows
Business Analyst (ECBA) Certificate Preparation Specialization,Business,Intermediate,5.0,"Offered by SkillUp. Prepare for the IIBA ECBA certification exam.. Brush up on your process modeling, requirements gathering, project ... Enroll for free.",https://www.coursera.org/specializations/business-analyst-ecba-certification-preparation
Business Analytics Specialization,Data Science,Beginner,10.0,Offered by University of Pennsylvania. Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four ... Enroll for free.,https://www.coursera.org/specializations/business-analytics
Business Data Management and Communication Specialization,Business,Intermediate,10.0,"Offered by University of Illinois Urbana-Champaign. Discover and discern the value of information. Learners will be able to work with data, ... Enroll for free.",https://www.coursera.org/specializations/business-data-management-communication
Business Foundations Specialization,Business,Beginner,10.0,"Offered by University of Pennsylvania. Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, ... Enroll for free.",https://www.coursera.org/specializations/wharton-business-foundations
Business Strategy Specialization,Business,Beginner,10.0,Offered by University of Virginia. Steer Your Business to Success. Generate value and demonstrate global impact in four courses. Enroll for free.,https://www.coursera.org/specializations/business-strategy
Business Value and Project Management Specialization,Business,Beginner,80.0,Offered by University of Illinois Urbana-Champaign. Coursework to build great organizational leaders.. Learners will be able to form a more ... Enroll for free.,https://www.coursera.org/specializations/business-value-project-management
Business and Financial Modeling Specialization,Business,Beginner,10.0,Offered by University of Pennsylvania. Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions Enroll for free.,https://www.coursera.org/specializations/wharton-business-financial-modeling
Business and Marketing Strategies Specialization,Business,Beginner,10.0,Offered by University of London. Upgrade your business and marketing capabilities. Gain a competitive advantage through the acquisition of ... Enroll for free.,https://www.coursera.org/specializations/uol-business-and-marketing-strategies
Campus to Corporate Training Program Specialization,Arts and Humanities,Beginner,10.0,"Offered by LearnKartS. Step Confidently Into Your Corporate Life. Develop key soft skills to succeed, communicate effectively, and grow in ... Enroll for free.",https://www.coursera.org/specializations/campus-to-corporate-training
Cancer Biology Specialization,General,Beginner,10.0,"Offered by Johns Hopkins University. Learn essential skills in cancer biology, cancer metastasis, and prostate cancer, that will enable you ... Enroll for free.",https://www.coursera.org/specializations/cancer-biology
Canva Essentials Professional Certificate,Arts and Humanities,Beginner,10.0,"Offered by Coursera. Learn Essential Design Skills with Canva. Learn design, branding, and content creation skills to build quality projects ... Enroll for free.",https://www.coursera.org/professional-certificates/canva-essentials
Career Success Specialization,General,Beginner,10.0,"Offered by University of California, Irvine. Build Essential Skills for the Workplace. Improve your employability and advance in today’s ... Enroll for free.",https://www.coursera.org/specializations/career-success
Certified in Cybersecurity Specialization,Computer Science,Beginner,10.0,Offered by ISC2. Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning Enroll for free.,https://www.coursera.org/specializations/certified-in-cybersecurity
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight Specialization,Data Science,Beginner,3.0,"Offered by Vanderbilt University. ChatGPT-Powered Excel: Transform Data Into Insight. Master AI-driven Excel skills to automate tasks, ... Enroll for free.",https://www.coursera.org/specializations/chatgpt-excel
ChatGPT + Zapier: AI-Powered Email Mastery Specialization,Personal Development,Beginner,3.0,Offered by Vanderbilt University. ChatGPT-Powered Email Automation and Productivity. Master ChatGPT-driven workflows to automate email ... Enroll for free.,https://www.coursera.org/specializations/chatgpt-zapier-email
ChatGPT for Project Management - Leveraging AI for Success Specialization,Business,Beginner,10.0,Offered by Vanderbilt University. Master Project Management with ChatGPT. Learn how to leverage ChatGPT and AI to streamline project ... Enroll for free.,https://www.coursera.org/specializations/chatgpt-project-management
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier Specialization",Data Science,Beginner,10.0,"Offered by Vanderbilt University. Master Personal Automation with ChatGPT and Zapier. Learn how to harness ChatGPT, AI tools, GPTs, and ... Enroll for free.",https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation
ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization,Data Science,Beginner,10.0,"Offered by Vanderbilt University. Master ChatGPT's Free AI to Excel at Work & Life. Leverage ChatGPT's free AI to excel at planning, project ... Enroll for free.",https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel
Claude AI Tools for Beginners Specialization,Data Science,Beginner,10.0,"Offered by SkillsBooster Academy. Master Claude for Advanced Professional Workflows. Leverage Claude AI to automate multi-step workflows, ... Enroll for free.",https://www.coursera.org/specializations/claude-ai-tools-for-beginners
Clinical Trials Operations Specialization,Business,Beginner,3.0,Offered by Johns Hopkins University. Design and Conduct Successful Clinical Trials. Build skills for conducting successful and impactful ... Enroll for free.,https://www.coursera.org/specializations/clinical-trials-operations
Clinical Trials: Good Clinical Practice Specialization,Health,Beginner,10.0,Offered by Novartis. GCP Principles for Ethical Clinical Trials Enroll for free.,https://www.coursera.org/specializations/clinical-trials-good-clinical-practice
Cloud Application Development Foundations Specialization,Information Technology,Beginner,10.0,Offered by IBM. Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and ... Enroll for free.,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
Connect and Protect: Networks and Network Security,Computer Science,Beginner,10.0,"This course provides a brief introduction to network architecture, operations, intrusion tactics, and security hardening. Learners will also be introduced to common network protocols and how systems use the TCP/IP model to communicate within a network. Learners will gain an understanding of network level vulnerabilities and how to secure a network against those vulnerabilities. Network security topics will include firewalls, virtual private networks (VPNs), system hardening, and virtual private",https://www.coursera.org/learn/networks-and-network-security
Construction Management Specialization,Business,Beginner,10.0,Offered by Columbia University. Construction Project Management and Planning. Develop and understand the foundations of project planning and ... Enroll for free.,https://www.coursera.org/specializations/construction-management
